类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
flash.ui.Keyboard,,1,UP,,,uint,flash.Keyboard,1,flash.Keyboard.UP,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_STOP,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_STOP,,,,1,,,
flash.ui.Keyboard,,1,YELLOW,,,uint,flash.Keyboard,1,flash.Keyboard.YELLOW,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_MENU,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_MENU,,,,1,,,
flash.ui.Keyboard,,1,CHANNEL_UP,,,uint,flash.Keyboard,1,flash.Keyboard.CHANNEL_UP,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_USER,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_USER,,,,1,,,
flash.ui.Keyboard,,1,CHANNEL_DOWN,,,uint,flash.Keyboard,1,flash.Keyboard.CHANNEL_DOWN,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_SYSTEM,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_SYSTEM,,,,1,,,
flash.ui.Keyboard,,1,RECORD,,,uint,flash.Keyboard,1,flash.Keyboard.RECORD,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_PRINT,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_PRINT,,,,1,,,
flash.ui.Keyboard,,1,PLAY,,,uint,flash.Keyboard,1,flash.Keyboard.PLAY,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_CLEARLINE,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_CLEARLINE,,,,1,,,
flash.ui.Keyboard,,1,PAUSE,,,uint,flash.Keyboard,1,flash.Keyboard.PAUSE,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_CLEARDISPLAY,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_CLEARDISPLAY,,,,1,,,
flash.ui.Keyboard,,1,STOP,,,uint,flash.Keyboard,1,flash.Keyboard.STOP,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_INSERTLINE,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_INSERTLINE,,,,1,,,
flash.ui.Keyboard,,1,FAST_FORWARD,,,uint,flash.Keyboard,1,flash.Keyboard.FAST_FORWARD,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_DELETELINE,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_DELETELINE,,,,1,,,
flash.ui.Keyboard,,1,REWIND,,,uint,flash.Keyboard,1,flash.Keyboard.REWIND,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_INSERTCHAR,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_INSERTCHAR,,,,1,,,
flash.ui.Keyboard,,1,SKIP_FORWARD,,,uint,flash.Keyboard,1,flash.Keyboard.SKIP_FORWARD,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_DELETECHAR,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_DELETECHAR,,,,1,,,
flash.ui.Keyboard,,1,SKIP_BACKWARD,,,uint,flash.Keyboard,1,flash.Keyboard.SKIP_BACKWARD,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_PREV,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_PREV,,,,1,,,
flash.ui.Keyboard,,1,NEXT,,,uint,flash.Keyboard,1,flash.Keyboard.NEXT,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_NEXT,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_NEXT,,,,1,,,
flash.ui.Keyboard,,1,PREVIOUS,,,uint,flash.Keyboard,1,flash.Keyboard.PREVIOUS,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_SELECT,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_SELECT,,,,1,,,
flash.ui.Keyboard,,1,LIVE,,,uint,flash.Keyboard,1,flash.Keyboard.LIVE,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_EXECUTE,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_EXECUTE,,,,1,,,
flash.ui.Keyboard,,1,LAST,,,uint,flash.Keyboard,1,flash.Keyboard.LAST,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_UNDO,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_UNDO,,,,1,,,
flash.ui.Keyboard,,1,MENU,,,uint,flash.Keyboard,1,flash.Keyboard.MENU,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_REDO,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_REDO,,,,1,,,
flash.ui.Keyboard,,1,INFO,,,uint,flash.Keyboard,1,flash.Keyboard.INFO,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_FIND,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_FIND,,,,1,,,
flash.ui.Keyboard,,1,GUIDE,,,uint,flash.Keyboard,1,flash.Keyboard.GUIDE,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_HELP,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_HELP,,,,1,,,
flash.ui.Keyboard,,1,EXIT,,,uint,flash.Keyboard,1,flash.Keyboard.EXIT,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_MODESWITCH,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_MODESWITCH,,,,1,,,
flash.ui.Keyboard,,1,AUDIO,,,uint,flash.Keyboard,1,flash.Keyboard.AUDIO,,,,1,,,
flash.ui.Keyboard,,1,STRING_UPARROW,,,String,flash.Keyboard,1,flash.Keyboard.STRING_UPARROW,,,,1,,,
flash.ui.Keyboard,,1,SUBTITLE,,,uint,flash.Keyboard,1,flash.Keyboard.SUBTITLE,,,,1,,,
flash.ui.Keyboard,,1,STRING_DOWNARROW,,,String,flash.Keyboard,1,flash.Keyboard.STRING_DOWNARROW,,,,1,,,
flash.ui.Keyboard,,1,DVR,,,uint,flash.Keyboard,1,flash.Keyboard.DVR,,,,1,,,
flash.ui.Keyboard,,1,STRING_LEFTARROW,,,String,flash.Keyboard,1,flash.Keyboard.STRING_LEFTARROW,,,,1,,,
flash.ui.Keyboard,,1,VOD,,,uint,flash.Keyboard,1,flash.Keyboard.VOD,,,,1,,,
flash.ui.Keyboard,,1,STRING_RIGHTARROW,,,String,flash.Keyboard,1,flash.Keyboard.STRING_RIGHTARROW,,,,1,,,
flash.ui.Keyboard,,1,INPUT,,,uint,flash.Keyboard,1,flash.Keyboard.INPUT,,,,1,,,
flash.ui.Keyboard,,1,STRING_F1,,,String,flash.Keyboard,1,flash.Keyboard.STRING_F1,,,,1,,,
flash.ui.Keyboard,,1,SETUP,,,uint,flash.Keyboard,1,flash.Keyboard.SETUP,,,,1,,,
flash.ui.Keyboard,,1,STRING_F2,,,String,flash.Keyboard,1,flash.Keyboard.STRING_F2,,,,1,,,
flash.ui.Keyboard,,1,HELP,,,uint,flash.Keyboard,1,flash.Keyboard.HELP,,,,1,,,
flash.ui.Keyboard,,1,STRING_F3,,,String,flash.Keyboard,1,flash.Keyboard.STRING_F3,,,,1,,,
flash.ui.Keyboard,,1,MASTER_SHELL,,,uint,flash.Keyboard,1,flash.Keyboard.MASTER_SHELL,,,,1,,,
flash.ui.Keyboard,,1,STRING_F4,,,String,flash.Keyboard,1,flash.Keyboard.STRING_F4,,,,1,,,
